,k,algorithm,mean_cut,median_cut,std_cut,min_cut,max_cut,mean_runtime,total_runtime,success_rate,dataset
0,2,greedy,5.95,6.0,2.8191310718020897,0.0,12.0,0.0011307001113891602,0.022614002227783203,1.0,Isolated
1,2,spectral,2.5,2.0,1.746424919657298,0.0,7.0,0.09948074817657471,1.9896149635314941,1.0,Isolated
2,2,gw_sdp,7.15,6.5,3.6231892028984634,0.0,16.0,0.013058722019195557,0.26117444038391113,1.0,Isolated
3,3,greedy,6.6,6.0,3.2310988842807027,0.0,14.0,0.0018015027046203614,0.03603005409240723,1.0,Isolated
4,3,spectral,4.05,4.0,2.43874967965144,0.0,12.0,0.02576478719711304,0.5152957439422607,1.0,Isolated
5,3,gw_sdp,5.2,5.0,2.874021572639983,0.0,14.0,0.03932133913040161,0.7864267826080322,1.0,Isolated
6,4,greedy,6.95,6.5,3.4420197558991434,0.0,15.0,0.0023584246635437013,0.04716849327087402,1.0,Isolated
7,4,spectral,5.05,5.0,2.4181604578687494,0.0,9.0,0.0263511061668396,0.527022123336792,1.0,Isolated
8,4,gw_sdp,6.7,6.0,3.4510867853474796,0.0,16.0,0.039102935791015626,0.7820587158203125,1.0,Isolated
9,2,greedy,21.2,18.5,10.122252713699654,9.0,39.0,0.001311337947845459,0.02622675895690918,1.0,Transitioning
10,2,spectral,14.9,13.0,9.989494481704266,3.0,44.0,0.025326216220855714,0.5065243244171143,1.0,Transitioning
11,2,gw_sdp,26.65,23.0,14.792819203924585,9.0,53.0,0.019314324855804442,0.38628649711608887,1.0,Transitioning
12,3,greedy,27.25,22.5,13.645054048995188,11.0,51.0,0.00185164213180542,0.0370328426361084,1.0,Transitioning
13,3,spectral,24.65,23.5,14.471610138474569,8.0,52.0,0.025866937637329102,0.517338752746582,1.0,Transitioning
14,3,gw_sdp,32.3,27.0,17.95577901401106,12.0,65.0,0.04686356782913208,0.9372713565826416,1.0,Transitioning
15,4,greedy,29.15,24.5,14.93410526278692,11.0,55.0,0.0023055315017700196,0.04611063003540039,1.0,Transitioning
16,4,spectral,26.65,26.5,14.585180835354766,10.0,63.0,0.025125956535339354,0.5025191307067871,1.0,Transitioning
17,4,gw_sdp,33.4,28.5,18.534832073693035,12.0,66.0,0.04528343677520752,0.9056687355041504,1.0,Transitioning
18,2,greedy,22.1,19.0,11.562439189029277,8.0,43.0,0.0013507485389709472,0.027014970779418945,1.0,Extremely Sparse
19,2,spectral,12.3,11.0,5.806031346797914,6.0,24.0,0.026003313064575196,0.5200662612915039,1.0,Extremely Sparse
20,2,gw_sdp,27.55,23.5,16.110477956907424,9.0,57.0,0.01823160648345947,0.36463212966918945,1.0,Extremely Sparse
21,3,greedy,28.4,23.5,15.551205741035004,9.0,56.0,0.0018083930015563964,0.03616786003112793,1.0,Extremely Sparse
22,3,spectral,23.0,20.5,13.30413469565007,8.0,58.0,0.026112580299377443,0.5222516059875488,1.0,Extremely Sparse
23,3,gw_sdp,33.75,28.0,20.376150274278995,9.0,70.0,0.04801114797592163,0.9602229595184326,1.0,Extremely Sparse
24,4,greedy,30.55,25.0,17.133227950389266,10.0,60.0,0.002180969715118408,0.043619394302368164,1.0,Extremely Sparse
25,4,spectral,27.15,24.5,15.193008260380825,9.0,62.0,0.025635898113250732,0.5127179622650146,1.0,Extremely Sparse
26,4,gw_sdp,34.65,29.0,20.99589245543042,10.0,73.0,0.04620230197906494,0.9240460395812988,1.0,Extremely Sparse
27,2,greedy,11.4,8.5,7.696752561957543,0.0,28.0,0.0015511393547058105,0.03102278709411621,1.0,Very Sparse
28,2,spectral,5.55,4.5,4.224630161327734,0.0,17.0,0.02775024175643921,0.5550048351287842,1.0,Very Sparse
29,2,gw_sdp,15.0,10.0,11.454256850621082,0.0,37.0,0.022706210613250732,0.45412421226501465,1.0,Very Sparse
30,3,greedy,13.25,9.0,9.694715055121527,0.0,33.0,0.001855325698852539,0.03710651397705078,1.0,Very Sparse
31,3,spectral,10.25,7.5,8.123269046387668,0.0,27.0,0.026578879356384276,0.5315775871276855,1.0,Very Sparse
32,3,gw_sdp,15.6,10.0,13.013070352534024,0.0,42.0,0.04966808557510376,0.9933617115020752,1.0,Very Sparse
33,4,greedy,14.25,10.0,10.587138423577922,0.0,36.0,0.0022575855255126953,0.045151710510253906,1.0,Very Sparse
34,4,spectral,11.3,7.0,9.121951545584968,0.0,30.0,0.027474653720855714,0.5494930744171143,1.0,Very Sparse
35,4,gw_sdp,16.0,10.0,13.003845585056753,0.0,43.0,0.05092484951019287,1.0184969902038574,1.0,Very Sparse
36,2,greedy,25.0,19.0,17.40976737351766,6.0,63.0,0.0014511346817016602,0.029022693634033203,1.0,Moderately Sparse
37,2,spectral,14.7,10.5,11.389029809426262,2.0,43.0,0.02927818298339844,0.5855636596679688,1.0,Moderately Sparse
38,2,gw_sdp,30.9,23.0,22.618355377878384,6.0,79.0,0.01926238536834717,0.38524770736694336,1.0,Moderately Sparse
39,3,greedy,31.8,23.0,23.412817002659036,6.0,84.0,0.0019018411636352538,0.03803682327270508,1.0,Moderately Sparse
40,3,spectral,26.3,19.5,19.550191814915785,3.0,83.0,0.027154433727264404,0.5430886745452881,1.0,Moderately Sparse
41,3,gw_sdp,38.65,27.5,29.78972138171151,5.0,106.0,0.051141345500946046,1.022826910018921,1.0,Moderately Sparse
42,4,greedy,34.55,24.5,25.991296620215007,6.0,94.0,0.0039030790328979494,0.07806158065795898,1.0,Moderately Sparse
43,4,spectral,31.3,25.0,21.052553289328117,4.0,70.0,0.027577412128448487,0.5515482425689697,1.0,Moderately Sparse
44,4,gw_sdp,39.35,28.0,30.60110292130008,6.0,111.0,0.052682888507843015,1.0536577701568604,1.0,Moderately Sparse
