,k,algorithm,mean_cut,median_cut,std_cut,min_cut,max_cut,mean_runtime,total_runtime,success_rate,dataset
0,2,greedy,3.71395667297561,3.7410333442910932,1.8971903151036686,0.8293128359023525,7.712212242807988,0.0013048291206359864,0.026096582412719727,1.0,Isolated
1,2,spectral,1.7532521422133491,1.4570915982322252,1.3830827829655647,0.17627677176072504,6.668178730064411,0.026376867294311525,0.5275373458862305,1.0,Isolated
2,2,gw_sdp,4.509696237412944,4.2866348063492286,2.797924805494974,0.8293128359023525,11.773429186450393,0.015505182743072509,0.3101036548614502,1.0,Isolated
3,3,greedy,4.0471170404980015,3.9872134675316477,2.2049079538201526,0.8293128359023525,9.192654148914631,0.0018607378005981445,0.03721475601196289,1.0,Isolated
4,3,spectral,2.4801371834686465,2.1486511853291628,1.5943008523099809,0.17627677176072504,7.133320318667101,0.02637190818786621,0.5274381637573242,1.0,Isolated
5,3,gw_sdp,3.858145699311211,3.4580210106916383,2.259897545077429,0.8293128359023525,9.22353472095391,0.0412556529045105,0.82511305809021,1.0,Isolated
6,4,greedy,4.201163572335167,4.023189601090946,2.3908829188189307,0.8293128359023525,10.066019812700674,0.002200758457183838,0.04401516914367676,1.0,Isolated
7,4,spectral,2.6993816310675243,2.619016979522274,1.8811255114100933,0.17627677176072504,6.825021972305575,0.026548147201538086,0.5309629440307617,1.0,Isolated
8,4,gw_sdp,4.208548487373048,4.131557029472443,2.581564054800192,0.8293128359023525,11.026082621302024,0.0414434552192688,0.828869104385376,1.0,Isolated
9,2,greedy,12.468878245378843,10.07157569146663,5.755770429043712,5.0171030469478115,23.006956483046014,0.0012556910514831543,0.025113821029663086,1.0,Transitioning
10,2,spectral,8.082641204279234,6.1257576149641775,5.620502138831544,1.8291189499445308,21.46097854326106,0.02507704496383667,0.5015408992767334,1.0,Transitioning
11,2,gw_sdp,15.791475891145756,12.930305709315299,8.455691890291039,6.060489173451625,32.02954722717472,0.020670616626739503,0.41341233253479004,1.0,Transitioning
12,3,greedy,15.35908137121631,11.994664521587564,7.456272091823152,6.060489173451624,31.04757339008516,0.0016602873802185059,0.03320574760437012,1.0,Transitioning
13,3,spectral,13.037225766555347,10.061597786900055,6.745567906072028,5.2347636516744975,28.180434216224043,0.02580866813659668,0.5161733627319336,1.0,Transitioning
14,3,gw_sdp,18.22967716504073,13.6738640332646,9.896088106354819,6.190737589708257,38.112949422926334,0.04540398120880127,0.9080796241760254,1.0,Transitioning
15,4,greedy,16.371203154434674,12.584996915484378,8.220535548282125,6.060489173451624,33.81241884384834,0.0021048545837402343,0.04209709167480469,1.0,Transitioning
16,4,spectral,13.15329684929868,10.984192030484932,6.489205694151875,4.1864086652779955,26.19028810951161,0.027427291870117186,0.5485458374023438,1.0,Transitioning
17,4,gw_sdp,18.666704365364126,14.230606118834212,10.05072110196876,6.190737589708257,39.073288489388105,0.047973787784576415,0.9594757556915283,1.0,Transitioning
18,2,greedy,13.386447400360604,10.560657652864188,6.419916643153333,5.877986695934281,24.24474501551804,0.0012508749961853028,0.025017499923706055,1.0,Extremely Sparse
19,2,spectral,10.369213787870425,7.412305580700551,8.045034498754898,2.6795262156503012,32.010676264115546,0.025232625007629395,0.5046525001525879,1.0,Extremely Sparse
20,2,gw_sdp,16.866740768244103,13.450649691178807,9.206653144600258,6.577300060751627,32.43735858565201,0.023123550415039062,0.46247100830078125,1.0,Extremely Sparse
21,3,greedy,16.683875891840813,12.72172625915,8.520610233550821,7.173993331690075,31.04626722678477,0.001851654052734375,0.0370330810546875,1.0,Extremely Sparse
22,3,spectral,13.545033989755282,9.793991600962702,7.928767025438891,6.298119244576258,32.37626819406983,0.025433945655822753,0.5086789131164551,1.0,Extremely Sparse
23,3,gw_sdp,19.872332366270612,15.381270153952759,10.995975246085123,8.232552395687366,38.92086431797256,0.04658033847808838,0.9316067695617676,1.0,Extremely Sparse
24,4,greedy,17.766858137998632,13.495346702898644,9.3000491188311,7.887792111038158,33.631055620331864,0.002101564407348633,0.042031288146972656,1.0,Extremely Sparse
25,4,spectral,15.177641281342082,11.292570079166797,8.852489881169998,7.26438114566216,34.272803498545684,0.025492513179779054,0.509850263595581,1.0,Extremely Sparse
26,4,gw_sdp,20.48749499713528,15.683800110991264,11.46424785348053,8.232552395687366,39.75324765716309,0.04751889705657959,0.9503779411315918,1.0,Extremely Sparse
27,2,greedy,6.608514322515063,5.2195364024302755,4.189579599053394,1.3873927276467242,15.608015829154365,0.0011507630348205566,0.023015260696411133,1.0,Very Sparse
28,2,spectral,3.3215497490200185,2.22043167874231,3.069697981403858,0.4321640566678798,10.840101187790351,0.02693275213241577,0.5386550426483154,1.0,Very Sparse
29,2,gw_sdp,8.6004064501533,6.415668110538542,5.799537654126979,1.7819530797915615,20.815786089164163,0.026198530197143556,0.5239706039428711,1.0,Very Sparse
30,3,greedy,7.62384988533748,5.781119092062559,5.083611014442802,1.7819530797915615,19.011999471315818,0.0017514228820800781,0.03502845764160156,1.0,Very Sparse
31,3,spectral,4.7324169795409246,4.415019387495388,3.021301691560195,0.8267244088127171,11.22273948529483,0.026411712169647217,0.5282342433929443,1.0,Very Sparse
32,3,gw_sdp,8.794774507822488,5.838517756831337,6.600198050330186,1.7819530797915615,23.292731603695753,0.04822326898574829,0.9644653797149658,1.0,Very Sparse
33,4,greedy,8.108150650895498,5.927982248746789,5.489164972618438,1.7819530797915615,20.572977026324775,0.0022069692611694338,0.04413938522338867,1.0,Very Sparse
34,4,spectral,5.425523278565742,4.722480240481232,3.447075993440798,0.8267244088127171,12.787097591247674,0.02651247978210449,0.5302495956420898,1.0,Very Sparse
35,4,gw_sdp,9.077475995151898,6.262609197500055,6.667494054029661,1.7819530797915615,24.5557158243616,0.05069355964660645,1.013871192932129,1.0,Very Sparse
36,2,greedy,14.083423267036455,9.175100385748713,9.982473158099355,4.520110536851766,36.44989122219787,0.0012977242469787598,0.025954484939575195,1.0,Moderately Sparse
37,2,spectral,7.509098033359093,6.131156077462607,4.900532490678316,1.6673002637309802,21.25859623893895,0.025276899337768555,0.5055379867553711,1.0,Moderately Sparse
38,2,gw_sdp,17.268890013202704,10.827247358833452,12.800105115254514,5.266565329714165,43.35891696252641,0.021063458919525147,0.42126917839050293,1.0,Moderately Sparse
39,3,greedy,17.35144555534778,10.610231313713605,13.153530659631686,4.976888182582862,46.59580380351295,0.0017016053199768067,0.03403210639953613,1.0,Moderately Sparse
40,3,spectral,10.66824120284063,7.23067254569343,6.544683746040309,2.7567947201937217,25.95991040395098,0.026390814781188966,0.5278162956237793,1.0,Moderately Sparse
41,3,gw_sdp,20.523620477681987,11.791437365930907,15.960356915390388,5.266565329714165,52.757170281924694,0.047444260120391844,0.9488852024078369,1.0,Moderately Sparse
42,4,greedy,18.702983893245758,10.98299804489768,14.451520875394197,4.976888182582862,50.13538287596025,0.002351677417755127,0.04703354835510254,1.0,Moderately Sparse
43,4,spectral,13.4867018089539,8.1941208611258,9.10936793075217,3.2708582512355084,35.47543344388389,0.026036345958709718,0.5207269191741943,1.0,Moderately Sparse
44,4,gw_sdp,21.28370364786422,11.910308613345734,16.99301868151731,5.266565329714165,57.29588925220501,0.04518070220947266,0.9036140441894531,1.0,Moderately Sparse
45,2,greedy,25.016293574027216,17.76570717711387,17.72835539740434,7.012096512301662,62.81649588950338,0.00120089054107666,0.024017810821533203,1.0,Moderately Dense
46,2,spectral,20.12523796611357,15.205894392420527,16.74052354237253,5.116850530388708,74.17833432533169,0.02547973394393921,0.5095946788787842,1.0,Moderately Dense
47,2,gw_sdp,31.49620200853267,20.669970888465784,23.530859672337492,7.475017596643219,77.38452381256833,0.018587112426757812,0.37174224853515625,1.0,Moderately Dense
48,3,greedy,33.74990837342927,22.901587837455345,24.742845067416358,9.217123465856002,84.34023965275259,0.0017016768455505372,0.03403353691101074,1.0,Moderately Dense
49,3,spectral,29.483786808240655,18.82346324617116,22.5550988442695,9.809382347986514,85.05874992923788,0.025952255725860594,0.5190451145172119,1.0,Moderately Dense
50,3,gw_sdp,38.910106126605555,25.48849525701138,29.551133629387415,10.363690956370762,100.5497927764566,0.04918253421783447,0.9836506843566895,1.0,Moderately Dense
51,4,greedy,37.492924682808436,24.654579152907154,28.3906669716716,9.688190837513496,95.34682020193374,0.002201664447784424,0.04403328895568848,1.0,Moderately Dense
52,4,spectral,36.57692225198153,22.651646232657285,27.27131052818649,9.809382347986514,98.31690396936835,0.025914430618286133,0.5182886123657227,1.0,Moderately Dense
53,4,gw_sdp,41.44157923955789,28.289532392332745,31.804900288220235,10.549189579668283,106.54671618017063,0.04531869888305664,0.9063739776611328,1.0,Moderately Dense
54,2,greedy,37.37666708684732,27.90801113126585,24.7911497540882,13.582436296848172,85.13231004279773,0.001301121711730957,0.02602243423461914,1.0,Very Dense
55,2,spectral,22.76863143741874,17.827264314595823,16.703954257953068,4.740520298843705,74.67564156813968,0.025427615642547606,0.5085523128509521,1.0,Very Dense
56,2,gw_sdp,43.70257703279256,31.49329835324641,31.896852348094423,12.507725473383871,109.34784149540302,0.01982431411743164,0.3964862823486328,1.0,Very Dense
57,3,greedy,50.40127752688739,37.6754787219583,35.195373410635895,15.705746908454474,122.21963707436912,0.0018515467643737793,0.037030935287475586,1.0,Very Dense
58,3,spectral,35.354327297514374,25.75266205538764,20.304501768445828,14.727279257809156,88.80683630026539,0.027175116539001464,0.5435023307800293,1.0,Very Dense
59,3,gw_sdp,56.05180191524981,40.816058306190435,40.53904917426533,15.629652655544067,140.11745999716615,0.049264919757843015,0.9852983951568604,1.0,Very Dense
60,4,greedy,56.396262707702206,41.83772527441886,40.15030734619446,16.942536651770492,137.8063465175474,0.002458655834197998,0.04917311668395996,1.0,Very Dense
61,4,spectral,45.478523323704884,39.34083137543044,29.449967497819415,16.670964375919425,127.68591599472785,0.025924015045166015,0.5184803009033203,1.0,Very Dense
62,4,gw_sdp,60.79715909278374,45.56189476129715,44.357482111178406,17.70659684131183,151.78985046080786,0.04740486145019531,0.9480972290039062,1.0,Very Dense
